把柄,痛处
躲债,避债
堕胎,打胎
恶人得势,歹徒横行
恶徒,暴徒
恶语伤人,出言无状
遏制,停止
恩仇,恩怨
恩义,恩德
恩怨,恩仇
而且,并且
耳环,耳饰
耳饰,耳环
发财,发达
发疯,发狂
发家,发财
发狂,发疯
发妻,嫡妻
发芽,抽芽
伐罪,讨伐
法规,法例
法例,法则
法网恢恢,天道好还
帆船,风帆
翻译员,通译员
凡夫俗子,伧夫俗人
凡间,尘寰
繁荣富强,繁荣昌盛
反悔,忏悔
反客为主,反宾为主
反扑,反攻
反照,倒映
犯得上,犯得着
犯得着,犯得上
犯科,不法
泛起,出现
饭店,饭馆
饭馆,饭店
方子,方剂
防线,防地
访友,探友
非死即伤,不死即伤
蜚言,浮言
分担,分管
分隔,分开
分家,分居
分居,分家
分派,分配
分身乏术,分身不暇
纷歧,不一
奋发向上,奋发图强
奋起,抖擞
丰裕,充裕
风餐露宿,跋山涉水
风度翩翩,风姿潇洒
风帆,帆船
风范,风采
风浪,风波
风扇,电扇
封爵,册封
奉还,璧还
奉行,推行
奉迎,讨好
否决,反对
否则,不然
伏法,伏诛
伏诛,伏法
伏罪,服罪
扶养,抚养
扶摇直上,百尺竿头
扶助,帮助
拂袖,拂衣
服法,吃法
服装,打扮
服罪,伏罪
浮言,蜚言
符号,标记
福寿无疆,福寿绵绵
抚琴,弹琴
俯拾即是,俯拾地芥
父母官,地方官
副手,帮手
富翁,大亨
覆水难收,反水不收
抬举,提拔
叹气,太息
探讨,探究
堂堂正正,大公至正
韬光养晦,闭门不出
逃难,避祸
逃脱,逃走
逃走,逃脱
特出,彪炳
提纲,提要
提议,发起
体现,表现
天各一方,天南地北
甜头,长处
填充,添补
听命,服从
停留,停顿
通宵,彻夜
同党,翅膀
同日而语,等量齐观
同心合力,同心并力
图谋不轨,犯上作乱
土地,地皮
退兵,退军
脱节,摆脱
八竿子打不着,八棍子撂不着
八股,陈腔滥调
八棍子撂不着,八竿子打不着
八字帖,发草帖
拔除,铲除
跋前踬后,动辄得咎
把臂而谈,促膝谈心
罢了,而已
白搭,白费
白日飞升,白日升天
白日升天,白日飞升
白云苍狗,沧海桑田
白种人,碧眼儿
百步穿杨,弹无虚发
百尺竿头,扶摇直上
百折不回,百折不挠
败事,败露
拜候,访谒
班门弄斧,布鼓雷门
拌合,搀和
拌杂,拌合
邦畿,版图
包管,担保
宝缄,大札
宝塔,浮屠
宝穴,铜山
报酬,待遇
抱冤,抱屈
豹隐,遁世
爆竹,爆仗
悲泣,悲啼
碑帖,碑本
北斗,斗极
北里,娼寮
背约,背信
本地货,土产
本事儿,当事者
本旨,本心
本子,簿子
笨伯,蠢人
比及,等到
比量齐观,同等看待
比岁不登,比年不登
鄙俚,卑鄙
鄙人,不才
鄙言,粗言
闭门不出,韬匮藏珠
碧眼儿,白种人
避债,躲债
璧赵,璧还
砭骨,刺骨
便条,条子
辩说,辩论
彪炳,特出
宾朋迎门,宾朋盈门
兵法,兵书
兵书,兵法
并日而食,草衣木食
剥夺,褫夺
剥极必复,否极必泰
勃然变色,怫然作色
博学多闻,博古通今
薄酌,菲酌
捕鱼,打鱼
不安本分,不安分
不安分,不安本分
不睬,不理
不吃烟火食,不食人间烟火
不辞劳怨,不辞劳苦
不搭腔,不答腔
不搭嘴,不搭腔
不达时宜,不合时宜
不打不成相与,不打不相识
不打不相识,不打不成相与
不当准,不作准
不夺农时,不违农时
不二,不贰
不贰,不二
不分 白,不顾曲直
不敷,不足
不伏手,不顺手
不顾曲直,不分 白
不顾外表,不拘小节
不合时宜,不达时宜
不见圭角,不露锋芒
不绝,不停
不刊之论,不易之论
不堪,不胜
不可,弗成
不克不及,不能
不郎不秀,不稂不莠
不稂不莠,不郎不秀
不理,不睬
不吝,不惜
不吝指教,不吝珠玉
不吝珠玉,不吝指教
不留心,不留神
不露锋芒,不露圭角
不露神色,不露声色
不露声色,不露神色
不落俗套,不落窠臼
不能,不克不及
不能尽数,不能胜数
不能胜数,不能尽数
不能自制,不能自已
不宁不奈,不宁奈
不宁不耐,不宁耐
不宁奈,不宁不奈
不宁耐,不宁不耐
不屈,不平
不染纤尘,冰清玉洁
不入耳,不中听
不上不下,处境尴尬
不胜,不堪
不食人间烟火,不吃烟火食
不顺手,不伏手
不死即伤,非死即伤
不违农时,不夺农时
不唯,不惟
不惟,不唯
不相闻问,断绝往来
不消,不用
不厌其详,不厌求详
不厌求详,不厌其详
不一,纷歧
不易之论,不刊之论
不意,不料
不应,不该
不约而合,不谋而合
不正经,不伦不类
不中听,不入耳
不足齿数,不足挂齿
不足挂齿,不足齿数
不足为据,不足为凭
不足为凭,不足为据
不作数,不当准
布道,传教
布鼓雷门,班门弄斧
布匹,布疋
布疋,布匹
布衣粝食,布衣蔬食
布衣蔬食,布衣粝食
步兵,步卒
步辇儿,步行
步碾儿,步辇儿
步卒,步兵
簿本,本子
才情,才思
才思,才情
材伎,材艺
材艺,材伎
财贿,财货
财货,财贿
财路,财源
财运,财气
裁人,裁员
参考之资,他山之石
残破,残缺
仓卒,匆急
伧夫俗人,凡夫俗子
沧海桑田,白云苍狗
沧海微尘,太仓一粟
苍翠,葱翠
草野,草泽
草衣木食,并日而食
草泽,草野
草纸,厕纸
侧丽,侧艳
侧艳,侧丽
厕纸,草纸
测字,拆字
查考,覆按
茶话会,谈话会
茶室,茶楼
拆字,测字
馋涎欲滴,垂涎欲滴
产物,产品
阐发,分析
猖,跋扈
长眠,长逝
长命百岁,天保九如
长逝,长眠
长袖善舞,多财善贾
怅惋,怅惜
怅惜,怅惋
超等,超级
超群出众,超群绝伦
巢毁卵破,唇亡齿寒
吵杂,烦吵
车费,车资
车资,车费
彻里彻外,彻头彻尾
彻上彻下,彻里彻外
彻夜,通宵
澈底觉悟,大澈大悟
尘寰,凡间
尘事,尘务
尘务,尘事
陈腔滥调,八股
陈诉,报告
称孤道寡,称王称帝
称王称帝,称孤道寡
撑场面,充排场
成名术,登龙术
成衣,裁缝
承先启后,承上启下
诚笃,诚实
乘隙,趁机
吃法,服法
笞打,楚挞
持疑不定,持疑不决
持疑不决,持疑不定
褫夺,剥夺
叱喝,叱呵
斥候,标兵
翅膀,同党
充军,放逐
充排场,撑场面
虫篆之技,雕虫小技
宠任,宠信
抽丰,打秋风
抽闲,抽空
稠人广众,大庭广众
筹议,筹商
出力异常,特别卖力
出谋划策,出谋献策
出谋献策,出谋划策
出书,出版
出言无状,恶语伤人
初志,初衷
除奸,锄奸
楚切,悲凄
处境尴尬,不上不下
处置惩罚,处理
穿房过屋,穿房入户
穿房入户,穿房过屋
传教,布道
船长,船主
船厂,船坞
船坞,船厂
船主,船长
床上安床,迭床架屋
垂纶,钓鱼
春情,春心
春心,春情
唇亡齿寒,巢倾卵破
词采,词藻
词翰,词章
词讼,刀笔
词章,词翰
辞书,词典
从容自若,从容自在
从兄弟,堂兄弟
丛聚,簇集
粗衣劣食,恶衣恶食
簇集,丛聚
窜犯,窜扰
窜扰,窜犯
村塾,村学
村学,村校
存身,藏身安身
寸晷,寸阴
寸心,寸衷
寸阴,寸晷
寸衷,寸心
错漏,讹夺
搭架子,摆架子
搭客,乘客
打秋风,抽丰
打手式,打手势
打顺风锣,打顺风旗
打顺风旗,打顺风锣
打眼号,递眼色
大北,大败
大氅,斗篷
大吹牛皮,大张其词
大公至正,堂堂正正
大亨,富翁
大力成全,鼎力玉成
大言不惭,大吹牛皮
大雨如注,大雨滂沱
大族,富家
歹徒横行,恶人得势
代庖,代劳
单纯,纯真
胆大心小,胆大心细
澹泊,恬淡
当头棒喝,当头一棒
当头一棒,当头棒喝
当中,傍边
党魁,党首
党首,党魁
党羽,翅膀
荡垢涤污,伐毛洗髓
档册,檀案
刀笔,词讼
刀光血影,刀光剑影
刀头之蜜,佛口蛇心
叨在知己,忝在爱末
导引,扶引
倒映,反照
到差,赴任
到处奔跑,东奔西走
盗魁,盗首
盗首,盗魁
道听涂说,耳食之闻
道学味,方巾气
德律风,电话
的一确二,丁一卯二
灯胆,灯泡
灯芯,灯炷
灯烛辉煌,灯火辉煌
灯炷,灯芯
登岸,登陆
登龙术,成名术
登位,登基
邓通之财,陶猗之富
低首下心,低头屈膝
嫡妻,发妻
抵家,到家
地方不宁,盗贼四起
递眼色,打眼号
典雅堂皇,典丽堂皇
点火,焚烧
电话,德律风
佃户,田户
店肆,店铺
调治,调理
掉臂,不顾
迭床架屋,床上安床
蹀躞,蹀
丁宁,打发
丁一卯二,的一确二
钉扣子,缝扣子
鼎力大举,大力
鼎力玉成,大力成全
订盟,缔盟
定规,定例
定例,定规
定胜败,分高下
定则,定章
定章,定则
东床,半子
东瀛,东洋
冬烘,腐儒
动辄得咎,跋前踬后
洞开,敞开
都市,都会
兜销,兜售
斗极,北斗
斗篷,大氅
豆剖瓜分,半壁江山
豆乳,豆浆
杜门不出,闭门不出
短寿,短折
对天长叹,长吁短叹
对折,半数
遁迹,避难
遁世,豹隐
多财善贾,长袖善舞
跺脚,顿脚
恶衣恶食,粗衣劣食
耳食之闻,道听涂说
发草帖,八字帖
发号布令,发号令
发号令,发号施令
发轫,发端
发言,谈话
伐毛洗髓,荡垢涤污
珐琅,搪瓷
帆柱,帆樯
烦吵,吵杂
烦懑,不快
蕃殖,繁生
繁生,蕃殖
反宾为主,太阿倒持
反驳,辩驳
犯讳,犯忌
犯忌,犯讳
犯上作乱,图为不轨
泛爱,博爱
梵学,佛学
梵宇,佛寺
方单,地契
方剂,方子
方巾气,道学味
方丈和尚,当家和尚
防地,防线
房客,佃农
访候,拜望
放开,摊开
放洋,出洋
菲酌,薄酌
肥皂,番笕
诽语,谗言
分辨差别,分别辨别
分别辨别,分辨差别
分管,分担
分身不暇,分身乏术
焚膏继晷,通宵达旦
焚劫,焚掠
焚掠,焚劫
焚琴煮鹤,大煞风景
奋发蹈厉,奋发自强
奋勇争先,奋勇当先
风静,风止
风靡云涌,风靡云蒸
风靡云蒸,风靡云涌
风止,风静
风姿潇洒,风度翩翩
缝扣子,钉扣子
佛口蛇心,刀头之蜜
佛寺,梵宇
佛学,梵学
否极必泰,剥极必复
夫役,挑夫
伏莽,盗匪
伏祈,伏乞
伏乞,伏祈
扶引,导引
怫然作色,勃然变色
拂衣,拂袖
浮薄,佻达
浮皮蹭痒,浮皮潦草
浮皮潦草,浮皮蹭痒
浮图,宝塔
福寿绵长,福寿绵绵
福寿绵绵,福寿无疆
釜中游鱼,釜中之鱼
釜中之鱼,釜中游鱼
腐儒,冬烘
父（母）丧,丁忧
父老,长者
付托,吩咐
富厚,丰富
赋予,付与
覆按,查考
蚍蜉撼树,不自量力
他山之石,参考之资
他心,贰心
台端,大驾
台甫,大名
太仓一粟,沧海微尘
太初,太始
太过,太甚
太甚,太过
太始,太初
泰半,大半
泰山其颓,泰山殒落
贪杯,贪酒
贪官污吏,贪官蠹役
贪嘴,贪馋
谈话会,茶话会
覃思,沉思
檀案,档册
袒裼裸裎,寸丝不挂
叹伤,悲叹
探询探望,打听
探友,访友
探员,捕快
堂兄弟,从兄弟
搪瓷,珐琅
螳臂挡车,蚍蜉撼树
淌下,滴下
饕餮,贪吃
逃匿,窜匿
讨债,讨帐
特别卖力,出力异常
特立,挺拔
腾踊,腾跃
誊录,誊写
提要,提纲
体例,编制
体贴,体谅
天保九如,反老回童
天禀,禀赋
天道好还,法网恢恢
天国,天堂
天井,庭院
天伦,嫡亲
天南海北,天南地北
天年,天算
天算,天年
添补,填充
田户,佃户
田主,地主
忝在爱末,叨在知己
佻薄,浮滑
挑夫,夫役
挑水,担水
挑,浮薄
条记,笔记
条款,条目
条理,层次
条理分明,头头是道
条文,条则
条子,便条
跳班,跳级
跳出火炕,逃出生天
铁笔银钩,铁画银钩
铁画银钩,铁笔银钩
铁蒺藜,铁丝网
铁价,不二价
铁面无私,铁面无情
铁丝网,铁蒺藜
庭院,天井
停顿,停留
挺秀,挺拔
通畅,通行
通合一气,通同一气
通宵达旦,焚膏继晷
通译员,翻译员
同等看待,比量齐观
同亲,同乡
同砚,同学
同族,本家
铜山,宝穴
痛爱,宠爱
痛苦悲伤,疼痛
痛惜,怅然
偷取,盗取
头陀,梵衲
投军,当兵
秃头,秃顶
突入,冲入
土产,本地货
土匪,匪贼
土鸡瓦犬,土牛木马
土气,土头土脑
土头土脑,土气
兔脱,逃窜
推断,揣摸
推却,辞谢
推涛作浪,挑拨离间
退军,退兵
吞吐其辞,吞吞吐吐
托钵,讨饭
脱手,出手
脱销,畅销
