肮脏,邋遢
枯荣,隆替
苦心焦虑,困心衡虑
款子,款项
诓骗,敲诈
诳骗,欺诳
魁首,翘楚
困心衡虑,苦心焦虑
兰艾俱焚,兰艾同烬
兰交,至好
狼籍,缭乱
劳军,犒军
牢记,切记
老蚌生珠,老年得子
老大,老迈
老夫,老汉
老妇人,老太婆
老例子,老规矩
老衲,老僧
老年得子,老蚌生珠
老起面皮,老着脸子
老僧,老衲
老着脸子,老起面皮
潦倒穷困,穷困潦倒
乐不思蜀,流连忘返
乐师,乐工
冷害,寒害
冷天,寒天
冷眼旁观,坐观成败
礼法,礼制
礼制,礼法
力把,利巴
力不胜任,力难胜任
力难胜任,力不胜任
力求进步,力图上进
力求上进,力争上流
力弱,力衰
力衰,力弱
力图上进,力争上游
力有未逮,力不从心
历历如绘,绘影绘声
立地书橱,两脚书橱
立定脚跟,取得根据
立品,立身
利巴,力把
利钱,利息
利市三倍,获利优厚
栗栗不安,恐惧不安
笠衫,汗衫
连珠箭,连珠炮
连珠炮,连珠箭
良宵,良夜
良夜,良宵
良友,良朋
两姓之欢,秦晋之好
寥落,零落
撩蜂拨刺,撩蜂剔蝎
撩蜂剔蝎,撩蜂拨刺
了不得,了不起
邻人,邻居
临机处置,临机应变
凛凛,凛冽
灵榇,灵柩
灵柩,灵榇
陵暴,欺侮
陵犯,侵占
陵虐,陵暴
陵寝,陵园
陵园,陵寝
令阃,令正
令坦,令婿
令婿,令坦
令媛,千金
令正,令阃
龙凤之姿,龙章凤姿
龙章凤姿,龙凤之姿
隆运,鸿运
陋规,黑钱
掳掠,抢劫
鲁仲连,和事老
闾里,闾阎
闾阎,闾里
旅舍,客店
率尔操觚,轻率下笔
鸾翔凤翥,龙飞凤舞
乱花,乱用
乱用,乱花
罗网,坎阱
七零八落,乱七八糟
戚属,亲串
欺软怕硬,欺善怕恶
崎岖潦倒,落魄
旗头,旗手
起始,肇端
绮襦纨裤,绮绮子弟
气鼓鼓,气冲冲
气贯长虹,气冲牛斗
气呼呼,气
气,气呼呼
弃捐,弃置
弃取,取舍
弃文就武,弃文竞武
汽船,轮船
千载一时,千载难逢
迁移转变,转折
谦善,谦虚
前车可鉴,前车之鉴
前夕,前夜
前夜,前夕
虔敬,虔诚
钱袋,荷包
黔黎,黔首
黔驴之技,黔驴技穷
黔首,黔黎
欠伸,呵欠
歉岁,荒年
巧舌,巧言
切磋琢磨,互相研究
切谏,直谏
切身痛苦,切肤之痛
亲串,戚属
亲朋,亲友
亲事,婚事
侵陵,陵犯
勤学不辍,孜孜不倦
青葱,青翠
青鸟术,堪舆术
青云之志,鸿鹄之志
轻忽,忽视
轻率下笔,率尔操觚
轻细,轻微
倾盖论交,倾盖之交
倾盖之交,倾盖论交
穷苦人,穷鬼
穷苦相,穷相
穷山垩水,穷乡僻壤
穷源竟委,穷源溯流
穷源溯流,穷源竟委
秋日,秋天
秋天景色,秋景
求全谴责,责难
曲岸,曲堤
曲堤,曲岸
驱策,驱使
屈驾,劳驾
取得根据,立定脚跟
取暖和,取暖
全军尽没,全军覆没
权门,豪门
权势巨子,权威
泉源,来源
确切不移,千真万确
群丑跳梁,群魔乱舞
群魔乱舞,群丑跳梁
杂,混淆
杂居,混居
灾民,流民
再见,再会
遭灾,罹难
早霞,朝霞
择要,摘要
崭露锋芒,崭露头角
掌珠,令嫒
照顾护士,护理
肇始,起始
针砭箴规,忠告
珍视,器重
箴规,针砭
睁开,展开
整年,全年
整日,全日
正犯,主犯
支路,歧路
知交,厚交
执政,在朝
直谏,切谏
职权,权柄
指鸡骂犬,指桑骂槐
至好,至交
至死不渝,执迷不悟
至心,真心
志得意满,沾沾自喜
致意,请安
中心人物,核心分子
中原,华夏
众寡不敌,众寡悬殊
众口称善,口碑载道
众擎易举,众志成城
重利,厚利
重新努力别辟门户,另起炉灶
重修,重建
重作冯妇,前度刘郎
朱颜,红颜
主理,主办
助势,助威
驻足,立足
转败为功,化险为夷
转蓬,秋蓬
转头,回头
状师,律师
追悔不及,后悔无及
追念,回想
着花,开花
资源,资本
孳孳不息,勤学不辍
子息,后世昆裔
自卑过甚,自暴自弃
自感汗颜,自愧弗如
自身难保,自顾不暇
自制,克己
自主,自立
自坠陷阱,自投罗网
自作掩饰,自圆其说
尊严,庄严
左券,契约
左支右绌,捉襟见肘
作歹,作恶
作法自毙,自作自受
作育,造就
